MEMBER_NO,FFP_DATE,FIRST_FLIGHT_DATE,GENDER,FFP_TIER,WORK_CITY,WORK_PROVINCE,WORK_COUNTRY,AGE,LOAD_TIME,FLIGHT_COUNT,BP_SUM,SUM_YR_1,SUM_YR_2,SEG_KM_SUM,LAST_FLIGHT_DATE,LAST_TO_END,AVG_INTERVAL,MAX_INTERVAL,EXCHANGE_COUNT,avg_discount,Points_Sum,Point_NotFlight
54993,11/2/2006,12/24/2008,Male,6,.,beijing,CN,31,3/31/2014,210,505308,239560,234188,580717,3/31/2014,1,3.483253589,18,34,0.961639043,619760,50
28065,2/19/2007,8/3/2007,Male,6,,beijing,CN,42,3/31/2014,140,362480,171483,167434,293678,3/25/2014,7,5.194244604,17,29,1.25231444,415768,33
55106,2/1/2007,8/30/2007,Male,6,.,beijing,CN,40,3/31/2014,135,351159,163618,164982,283712,3/21/2014,11,5.298507463,18,20,1.254675516,406361,26
21189,8/22/2008,8/23/2008,Male,5,Los Angeles,CA,US,64,3/31/2014,23,337314,116350,125500,281336,12/26/2013,97,27.86363636,73,11,1.090869565,372204,12
39546,4/10/2009,4/15/2009,Male,6,guiyang,guizhou,CN,48,3/31/2014,152,273844,124560,130702,309928,3/27/2014,5,4.78807947,47,27,0.970657895,338813,39
56972,2/10/2008,9/29/2009,Male,6,guangzhou,guangdong,CN,64,3/31/2014,92,313338,112364,76946,294585,1/13/2014,79,7.043956044,52,10,0.967692483,343121,15
44924,3/22/2006,3/29/2006,Male,6,wulumuqishi,xinjiang,CN,46,3/31/2014,101,248864,120500,114469,287042,3/31/2014,1,7.19,28,20,0.965346535,298873,29
22631,4/9/2010,4/9/2010,Female,6,wenzhoushi,zhejiang,CN,50,3/31/2014,73,301864,82440,114971,287230,3/29/2014,3,10.11111111,45,7,0.962070222,351198,14
32197,6/7/2011,7/1/2011,Male,5,DRANCY,,FR,50,3/31/2014,56,262958,72596,87401,321489,3/26/2014,6,13.05454545,94,5,0.828478237,295158,7
31645,7/5/2010,7/5/2010,Female,6,wenzhou,zhejiang,CN,43,3/31/2014,64,204855,85258,60267,375074,3/17/2014,15,11.33333333,73,13,0.708010153,251907,16
58877,11/18/2010,11/20/2010,Female,6,PARIS,PARIS,FR,34,3/31/2014,43,298321,69056,91581,262013,3/10/2014,22,16.83333333,95,1,0.988658044,337839,3
37994,11/13/2004,12/2/2004,Male,6,beijing,.,CN,47,3/31/2014,145,256093,92975,126821,271438,3/26/2014,6,5.027777778,42,15,0.95253487,353101,66
28012,11/23/2006,11/18/2007,Male,5,SAN MARINO,CA,US,58,3/31/2014,29,210269,44750,53977,321529,1/25/2014,67,23,112,3,0.799126984,245808,4
54943,10/25/2006,10/27/2007,Male,6,shenzhen,guangdong,CN,47,3/31/2014,118,241614,105466,119832,179514,3/29/2014,3,6.196581197,38,14,1.398381742,270704,20
57881,2/1/2010,2/1/2010,Female,6,guangzhou,guangdong,CN,45,3/31/2014,50,289917,68941,79076,270067,3/30/2014,2,14.87755102,100,9,0.921984841,328345,12
1254,3/28/2008,4/5/2008,Male,4,BOWLAND HEIGHTS,CALIFORNIA,US,63,3/31/2014,22,286164,69300,54764,234721,1/27/2014,65,31.19047619,102,6,1.026084586,310002,8
8253,7/15/2010,8/20/2010,Male,6,wulumuqi,xinjiang,CN,48,3/31/2014,101,219995,93840,93114,172231,3/25/2014,7,6.84,41,15,1.3865249,257193,22
58899,11/10/2010,2/23/2011,Female,6,PARIS,,FR,50,3/31/2014,40,249882,66239,63260,284160,2/16/2014,45,17.58974359,77,12,0.837844243,281705,13
26955,4/6/2006,2/22/2007,Male,6,wulumuqishi,xinjiang,CN,54,3/31/2014,64,215013,99735,93006,169358,3/30/2014,2,11.20634921,48,16,1.401596264,249914,23
41616,8/29/2011,10/22/2011,Male,6,dongguan,guangdong,CN,41,3/31/2014,38,191038,60930,52316,332896,3/8/2014,24,18.67567568,74,0,0.70828541,215694,3
21501,7/30/2008,11/21/2008,Male,6,.,beijing,CN,49,3/31/2014,106,220641,69566,122763,167113,3/28/2014,4,6.438095238,31,4,1.369404116,251134,9
41281,6/7/2011,6/9/2011,Male,6,VECHEL,NORD BRABANT,AN,,3/31/2014,23,255573,46800,198224,214590,3/26/2014,6,32.90909091,135,7,1.061630924,286520,9
47229,4/10/2005,4/10/2005,Male,6,guangzhou,guangdong,CN,69,3/31/2014,94,193169,59169,74497,305250,3/9/2014,23,7.47311828,42,5,0.741803833,277394,46
28474,4/13/2010,4/13/2010,Male,6,,CA,US,41,3/31/2014,20,256337,64258,59600,222380,1/18/2014,74,32.78947368,110,8,1.004904443,280760,9
58472,2/14/2010,3/1/2010,Female,5,,,FR,48,3/31/2014,44,204801,38510,75816,281837,3/15/2014,17,15.88372093,66,10,0.787308444,235939,12
13942,10/14/2010,11/1/2010,Male,6,PARIS,FRANCE,FR,39,3/31/2014,62,241719,72806,83496,243674,3/15/2014,17,11.24590164,121,7,0.902990019,274882,10
45075,2/1/2007,3/23/2007,Male,6,zhanjiang,guangdong,CN,46,3/31/2014,213,217809,136769,96568,187917,3/29/2014,3,3.433962264,37,0,1.146354614,795398,49
47114,1/15/2005,3/17/2005,Male,6,.,beijing,CN,47,3/31/2014,74,209810,101398,83139,148685,3/21/2014,11,9.493150685,51,8,1.433364428,235176,14
54619,1/7/2006,1/8/2006,Male,6,guangzhou,guangdong,CN,62,3/31/2014,101,209362,94055,107896,159129,3/14/2014,18,7.08,29,3,1.33816985,237787,11
12349,6/16/2008,6/27/2008,Male,6,shenzhen,guangdong,CN,46,3/31/2014,87,199866,83780,102594,149254,3/21/2014,11,8.26744186,36,9,1.424714581,224081,15
35883,4/11/2006,4/18/2007,Male,6,wulumuqishi,xinjiang,CN,55,3/31/2014,53,195075,96945,69814,144076,3/30/2014,2,13.46153846,61,3,1.469224298,211879,7
56091,11/25/2004,2/10/2005,Female,6,guangzhoushi,guangdongsheng,CN,46,3/31/2014,95,197222,134702,60366,149053,3/24/2014,8,7.574468085,80,8,1.414895104,212131,14
